y,Company,ReviewDate,CocoaPercent,CompanyLocation,BeanType,BeanOrigin
3.5,302.0,2006.0,75.0,18.0,11.0,67.0
3.5,90.0,2010.0,71.0,50.0,11.0,37.0
3.5,259.0,2015.0,85.0,14.0,12.0,19.0
3.5,264.0,2013.0,85.0,56.0,12.0,29.0
3.0,90.0,2007.0,70.0,50.0,3.0,63.0
3.5,239.0,2013.0,72.0,2.0,11.0,64.0
4.0,14.0,2007.0,70.0,29.0,11.0,37.0
3.0,103.0,2009.0,72.0,19.0,6.0,46.0
3.25,105.0,2012.0,75.0,2.0,8.0,57.0
3.0,80.0,2015.0,77.0,30.0,6.0,67.0
3.5,181.0,2011.0,72.0,54.0,6.0,67.0
3.75,335.0,2014.0,73.0,7.0,12.0,19.0
3.0,84.0,2016.0,75.0,56.0,12.0,18.0
3.5,59.0,2014.0,75.0,57.0,11.0,67.0
3.0,354.0,2016.0,71.0,12.0,6.0,46.0
3.5,303.0,2016.0,77.0,55.0,12.0,19.0
3.0,297.0,2009.0,72.0,4.0,6.0,40.0
3.0,33.0,2011.0,88.0,54.0,6.0,67.0
3.5,398.0,2011.0,66.0,2.0,11.0,45.0
2.75,301.0,2011.0,70.0,56.0,12.0,46.0
3.25,363.0,2012.0,70.0,56.0,12.0,40.0
3.25,343.0,2013.0,70.0,7.0,8.0,67.0
3.25,353.0,2013.0,78.0,56.0,11.0,2.0
2.75,289.0,2014.0,75.0,7.0,12.0,19.0
3.25,382.0,2015.0,70.0,56.0,12.0,3.0
4.0,393.0,2011.0,70.0,56.0,12.0,67.0
3.0,53.0,2007.0,66.0,18.0,12.0,40.0
3.5,244.0,2014.0,70.0,23.0,12.0,30.0
1.0,63.0,2007.0,70.0,4.0,12.0,19.0
3.75,313.0,2007.0,75.0,14.0,8.0,19.0
3.5,240.0,2014.0,63.0,56.0,6.0,46.0
3.0,166.0,2009.0,76.0,29.0,12.0,67.0
3.0,342.0,2014.0,70.0,56.0,8.0,62.0
4.0,69.0,2016.0,72.0,56.0,11.0,2.0
